load,NDV,Solar,Wind
8801.23,8406.23,0,395
8771.74,8380.74,0,391
8775.62,8380.62,0,395
8754.81,8357.81,0,397
8778.95,8378.95,0,400
8760.72,8358.72,0,402
8762.7,8363.7,0,399
8753.24,8352.24,0,401
8748.48,8349.48,0,399
8758.86,8355.86,0,403
8773.25,8370.25,0,403
8766.64,8360.64,0,406
8737.17,8334.17,0,403
8788.9,8382.9,0,406
8762.54,8353.54,0,409
8783.39,8369.39,0,414
8774.96,8359.96,0,415
8760.05,8344.05,0,416
8747.03,8333.03,0,414
8773.81,8356.81,0,417
8790.47,8368.47,0,422
8738.92,8314.92,0,424
8755.43,8328.43,0,427
8765.35,8334.35,0,431
8758.64,8323.64,0,435
8759.68,8321.68,0,438
8762.85,8328.85,0,434
8743.58,8308.58,0,435
8715.67,8280.67,0,435
8705.38,8264.38,0,441
8702.47,8261.47,0,441
8687.05,8251.05,0,436
8694,8254,0,440
8702,8261,0,441
8727.58,8283.58,0,444
8709.55,8264.55,0,445
8727.95,8285.95,0,442
8732.39,8290.39,0,442
8701.61,8262.61,0,439
8701.8,8262.8,0,439
8706.25,8267.25,0,439
8696.29,8260.29,0,436
8717.69,8282.69,0,435
8698.48,8268.48,0,430
8691.89,8261.89,0,430
8687.76,8254.76,0,433
8692.56,8258.56,0,434
8695.86,8255.86,0,440
8690.63,8252.63,0,438
8687.26,8241.26,0,446
8681.83,8230.83,0,451
8685.76,8228.76,0,457
8668.75,8210.75,0,458
8682.79,8222.79,0,460
8637.81,8175.81,0,462
8652.63,8188.63,0,464
8673.68,8211.68,0,462
8635.76,8173.76,0,462
8602.15,8141.15,0,461
8591.05,8130.05,0,461
8595.42,8135.42,0,460
8584.18,8128.18,0,456
8596.65,8140.65,0,456
8586.09,8131.09,0,455
8556.2,8105.2,0,451
8577.93,8128.93,0,449
8565.59,8115.59,0,450
8586.53,8138.53,0,448
8564.32,8118.32,0,446
8575.72,8130.72,0,445
8566.85,8128.85,0,438
8569.25,8136.25,0,433
8564.32,8133.32,0,431
8583.86,8156.86,0,427
8549.84,8128.84,0,421
8546.43,8129.43,0,417
8541.84,8130.84,0,411
8543.31,8137.31,0,406
8557.36,8155.36,0,402
8545.98,8149.98,0,396
8546.43,8155.43,0,391
8547.53,8161.53,0,386
8541.38,8160.38,0,381
8533.98,8153.98,0,380
8523.14,8147.14,0,376
8525.56,8153.56,0,372
8525.88,8158.88,0,367
8519.28,8156.28,0,363
8501.03,8141.03,0,360
8518.43,8161.43,0,357
8490.55,8135.55,0,355
8509.64,8153.64,0,356
8510.77,8160.77,0,350
8516.42,8168.42,0,348
8506.77,8163.77,0,343
8511.43,8167.43,0,344
8517.73,8177.73,0,340
8509.9,8170.9,0,339
8506.67,8168.67,0,338
8498.26,8164.26,0,334
8472.18,8142.18,0,330
8490.82,8164.82,0,326
8510.63,8189.63,0,321
8502.31,8188.31,0,314
8500.97,8192.97,0,308
8494.24,8191.24,0,303
8502.31,8201.31,0,301
8518.91,8221.91,0,297
8531.44,8238.44,0,293
8533.48,8244.48,0,289
8530.73,8242.73,0,288
8528.61,8244.61,0,284
8524.22,8242.22,0,282
8498.56,8221.56,0,277
8513.58,8237.58,0,276
8526.43,8251.43,0,275
8481.98,8209.98,0,272
8518.45,8249.45,0,269
8513.5,8249.5,0,264
8523.73,8263.73,0,260
8514.59,8254.59,0,260
8530.54,8271.54,0,259
8486.03,8228.03,0,258
8490.49,8231.49,0,259
8468.07,8207.07,0,261
8498.34,8242.34,0,256
8506.86,8251.86,0,255
8505.62,8251.62,0,254
8496.18,8244.18,0,252
8510.73,8259.73,0,251
8477.1,8227.1,0,250
8473.69,8226.69,0,247
8499.91,8253.91,0,246
8486.62,8241.62,0,245
8488.24,8246.24,0,242
8497.59,8256.59,0,241
8493.68,8255.68,0,238
8491.79,8257.79,0,234
8477.39,8246.39,0,231
8497.35,8268.35,0,229
8478.5,8249.5,0,229
8481.35,8256.35,0,225
8428.97,8205.97,0,223
8468.87,8246.87,0,222
8470.89,8249.89,0,221
8500.07,8282.07,0,218
8479.03,8261.03,0,218
8469.56,8253.56,0,216
8484.43,8270.43,0,214
8440.19,8226.19,0,214
8439.07,8227.07,0,212
8427.93,8220.93,0,207
8414.3,8205.3,0,209
8422.49,8214.49,0,208
8416.37,8207.37,0,209
8423.06,8214.06,0,209
8431.57,8223.57,0,208
8438.78,8233.78,0,205
8434.97,8232.97,0,202
8429.96,8231.96,0,198
8430.35,8231.35,0,199
8442.29,8244.29,0,198
8433.81,8237.81,0,196
8417.73,8222.73,0,195
8436.99,8241.99,0,195
8443.32,8250.32,0,193
8434.31,8240.31,0,194
8421.51,8229.51,0,192
8440.35,8249.35,0,191
8444.79,8255.79,0,189
8438.1,8248.1,0,190
8426.62,8239.62,0,187
8417.23,8230.23,0,187
8396.09,8208.09,0,188
8423.3,8236.3,0,187
8417.77,8232.77,0,185
8412.43,8230.43,0,182
8393.1,8212.1,0,181
8408.02,8228.02,0,180
8381.29,8202.29,0,179
8384.81,8207.81,0,177
8364.41,8187.41,0,177
8386.58,8212.58,0,174
8391.59,8218.59,0,173
8372.64,8201.64,0,171
8383.41,8212.41,0,171
8364.79,8194.79,0,170
8353.61,8187.61,0,166
8359.12,8193.12,0,166
8357.62,8193.62,0,164
8371.65,8208.65,0,163
8362.27,8198.27,0,164
8364.31,8200.31,0,164
8363.66,8202.66,0,161
8350.42,8189.42,0,161
8358.26,8198.26,0,160
8351.98,8194.98,0,157
8335.96,8177.96,0,158
8354.18,8199.18,0,155
8355.25,8201.25,0,154
8346.53,8194.53,0,152
8371.64,8221.64,0,150
8360.51,8210.51,0,150
8373.58,8225.58,0,148
8388.97,8241.97,0,147
8382.88,8235.88,0,147
8387,8242,0,145
8401.66,8257.66,0,144
8381.05,8238.05,0,143
8376.47,8235.47,0,141
8375.01,8235.01,0,140
8376.9,8238.9,0,138
8388.61,8254.61,0,134
8387.2,8249.2,0,138
8375.11,8239.11,0,136
8379.72,8245.72,0,134
8397.25,8264.25,0,133
8367.36,8233.36,0,134
8333.69,8201.69,0,132
8333.78,8203.78,0,130
8306.69,8176.69,0,130
8350.67,8222.67,0,128
8381.89,8257.89,0,124
8363.86,8242.86,0,121
8368.96,8248.96,0,120
8369.3,8251.3,0,118
8378.09,8263.09,0,115
8355.54,8241.54,0,114
8368.01,8255.01,0,113
8378.82,8265.82,0,113
8365.59,8254.59,0,111
8370.3,8259.3,0,111
8377.44,8266.44,0,111
8384.62,8273.62,0,111
8392.85,8280.85,0,112
8379.81,8264.81,0,115
8372.64,8254.64,0,118
8376.14,8256.14,0,120
8379.3,8257.3,0,122
8375.7,8251.7,0,124
8383.95,8257.95,0,126
8365.34,8236.34,0,129
8381.7,8251.7,0,130
8339.67,8206.67,0,133
8375.1,8241.1,0,134
8385.21,8248.21,0,137
8335.2,8198.2,0,137
8346.69,8210.69,0,136
8327.04,8190.04,0,137
8323.37,8188.37,0,135
8337.17,8201.17,0,136
8338.67,8204.67,0,134
8326.6,8194.6,0,132
8341.5,8211.5,0,130
8329.67,8203.67,0,126
8312.57,8186.57,0,126
8323.86,8199.86,0,124
8361.48,8238.48,0,123
8326.74,8206.74,0,120
8348.92,8229.92,0,119
8320.34,8202.34,0,118
8335.79,8220.79,0,115
8325.93,8209.93,0,116
8336.72,8219.72,0,117
8358.77,8241.77,0,117
8370.63,8254.63,0,116
8336.47,8222.47,0,114
8320.3,8206.3,0,114
8319.53,8209.53,0,110
8325.42,8215.42,0,110
8358.21,8250.21,0,108
8335.33,8228.33,0,107
8363.47,8258.47,0,105
8321.06,8217.06,0,104
8303.12,8200.12,0,103
8328.5,8228.5,0,100
8318,8220,0,98
8326.42,8232.42,0,94
8327.86,8236.86,0,91
8337.26,8247.26,0,90
8329.93,8242.93,0,87
8343.53,8259.53,0,84
8334.25,8253.25,0,81
8342.06,8264.06,0,78
8331.1,8252.1,0,79
8327.51,8249.51,0,78
8327.42,8250.42,0,77
8360.09,8286.09,0,74
8378.23,8306.23,0,72
8365.15,8293.15,0,72
8367.23,8296.23,0,71
8368.68,8297.68,0,71
8371.71,8302.71,0,69
8351.77,8283.77,0,68
8394.78,8326.78,0,68
8360.77,8293.77,0,67
8363.66,8299.66,0,64
8370.59,8307.59,0,63
8385.23,8322.23,0,63
8368.05,8306.05,0,62
8364.97,8302.97,0,62
8374.78,8313.78,0,61
8371.11,8311.11,0,60
8350.1,8292.1,0,58
8327.65,8269.65,0,58
8377.5,8320.5,0,57
8360.52,8302.52,0,58
8358.4,8301.4,0,57
8370.88,8315.88,0,55
8364.4,8308.4,0,56
8381.39,8326.39,0,55
8376.59,8321.59,0,55
8361.85,8307.85,0,54
8359.81,8306.81,0,53
8354.98,8301.98,0,53
8366.9,8314.9,0,52
8359.94,8307.94,0,52
8362.61,8310.61,0,52
8383.7,8331.7,0,52
8371.81,8320.81,0,51
8349.72,8299.72,0,50
8353.92,8304.92,0,49
8366.02,8316.02,0,50
8362.75,8312.75,0,50
8356.28,8306.28,0,50
8373.16,8323.16,0,50
8382.75,8335.75,0,47
8371.53,8323.53,0,48
8376.93,8329.93,0,47
8358.89,8309.89,0,49
8331.06,8284.06,0,47
8332.88,8283.88,0,49
8334.09,8287.09,0,47
8337.4,8287.4,0,50
8336.34,8285.34,0,51
8325.38,8278.38,0,47
8350.81,8303.81,0,47
8344.61,8297.61,1,46
8342.89,8293.89,3,46
8357.33,8307.33,4,46
8348.83,8292.83,8,48
8349.6,8292.6,8,49
8348.75,8289.75,9,50
8355.29,8293.29,11,51
8366.22,8303.22,13,50
8371.86,8307.86,14,50
