Load,NDV,Solar,Wind
8797.71,6851.71,0,1946
8713.11,6905.11,0,1808
8537.59,7406.59,0,1131
8611.12,7703.12,0,908
8562.63,7763.63,0,799
8766.44,8010.44,0,756
9006.19,8294.19,0,712
9438.78,8782.78,0,656
9643.44,9054.44,0,589
9860.25,9173.25,226,461
9929.15,8891.15,631,407
9873.8,8653.8,773,447
9919.68,8742.68,778,399
9826.51,8302.51,746,778
9906.22,8007.22,755,1144
9808.43,7723.43,783,1302
9858.65,7860.65,751,1247
9935.84,8158.84,575,1202
9907.03,8508.03,166,1233
9929.48,8574.48,0,1355
9951.51,8333.51,0,1618
9764.75,8496.75,0,1268
9578.58,8526.58,0,1052
9123.5,8384.5,0,739
8924.77,8247.77,0,677
8801.77,8265.77,0,536
8755.89,8160.89,0,595
8697.69,7937.69,0,760
8616.69,7781.69,0,835
8781.17,7967.17,0,814
9055.16,8389.16,0,666
9422.63,8792.63,0,630
9679.93,9031.93,0,648
9688.55,9063.55,88,537
9743.85,9015.85,295,433
9803.52,8759.52,536,508
9831.85,8526.85,689,616
9803.23,8531.23,691,581
9707.16,8438.16,712,557
9730.36,8339.36,766,625
9764.62,8340.62,767,657
9860.57,8744.57,541,575
9776.64,9053.64,143,580
9900.59,9336.59,0,564
9921.14,9382.14,0,539
9723.66,9210.66,0,513
9497.98,9018.98,0,479
9223.73,8907.73,0,316
8959.85,8689.85,0,270
8768.39,8638.39,0,130
8721.95,8582.95,0,139
8755.86,8599.86,0,156
8840.32,8638.32,0,202
8817.55,8617.55,0,200
9055.6,8861.6,0,194
9576.91,9313.91,0,263
9722.78,9438.78,1,283
9881.71,9211.71,362,308
9961.44,8861.44,765,335
10030.15,9006.15,815,209
9923.82,8955.82,771,197
9941.01,8891.01,706,344
9919.43,8790.43,744,385
10010.14,8830.14,776,404
9981.13,8840.13,760,381
9788.56,9040.56,346,402
9651.12,9175.12,63,413
9699.43,9104.43,3,592
9798.1,8942.1,3,853
9760.07,8627.07,3,1130
9511.62,8272.62,3,1236
9231.35,7934.35,3,1294
8916.93,7376.93,3,1537
8823.71,7210.71,3,1610
8690.99,7100.99,3,1587
8652.08,7212.08,3,1437
8751.2,7286.2,3,1462
8846.67,7548.67,3,1295
9047.68,7973.68,3,1071
9576.48,8547.48,3,1026
9792.12,8816.12,4,972
9958.12,8849.12,270,839
10035.41,9186.41,229,620
9999.39,9115.39,423,461
9868.91,8905.91,519,444
10050.72,9066.72,527,457
10056.71,8992.71,398,666
10010.78,8818.78,478,714
9953.48,8711.48,492,750
10028.34,8799.34,135,1094
9947.57,8781.57,12,1154
9987.06,8236.06,0,1751
9964.09,8520.09,0,1444
9834.75,8175.75,0,1659
9630.91,8343.91,0,1287
9411.73,8226.73,0,1185
9206.27,7982.27,0,1224
9052.8,7812.8,0,1240
8922.79,7972.79,0,950
8827.21,7942.21,0,885
8775.98,8006.98,0,769
8885.02,8171.02,0,714
9002.71,8405.71,0,597
9165.08,8642.08,0,523
9259.99,8872.99,0,387
9515.73,8974.73,294,247
9709.21,8936.21,676,97
