Solar,Wind
0,395
0,391
0,395
0,397
0,400
0,402
0,399
0,401
0,399
0,403
0,403
0,406
0,403
0,406
0,409
0,414
0,415
0,416
0,414
0,417
0,422
0,424
0,427
0,431
0,435
0,438
0,434
0,435
0,435
0,441
0,441
0,436
0,440
0,441
0,444
0,445
0,442
0,442
0,439
0,439
0,439
0,436
0,435
0,430
0,430
0,433
0,434
0,440
0,438
0,446
0,451
0,457
0,458
0,460
0,462
0,464
0,462
0,462
0,461
0,461
0,460
0,456
0,456
0,455
0,451
0,449
0,450
0,448
0,446
0,445
0,438
0,433
0,431
0,427
0,421
0,417
0,411
0,406
0,402
0,396
0,391
0,386
0,381
0,380
0,376
0,372
0,367
0,363
0,360
0,357
0,355
0,356
0,350
0,348
0,343
0,344
0,340
0,339
0,338
0,334
0,330
0,326
0,321
0,314
0,308
0,303
0,301
0,297
0,293
0,289
0,288
0,284
0,282
0,277
0,276
0,275
0,272
0,269
0,264
0,260
0,260
0,259
0,258
0,259
0,261
0,256
0,255
0,254
0,252
0,251
0,250
0,247
0,246
0,245
0,242
0,241
0,238
0,234
0,231
0,229
0,229
0,225
0,223
0,222
0,221
0,218
0,218
0,216
0,214
0,214
0,212
0,207
0,209
0,208
0,209
0,209
0,208
0,205
0,202
0,198
0,199
0,198
0,196
0,195
0,195
0,193
0,194
0,192
0,191
0,189
0,190
0,187
0,187
0,188
0,187
0,185
0,182
0,181
0,180
0,179
0,177
0,177
0,174
0,173
0,171
0,171
0,170
0,166
0,166
0,164
0,163
0,164
0,164
0,161
0,161
0,160
0,157
0,158
0,155
0,154
0,152
0,150
0,150
0,148
0,147
0,147
0,145
0,144
0,143
0,141
0,140
0,138
0,134
0,138
0,136
0,134
0,133
0,134
0,132
0,130
0,130
0,128
0,124
0,121
0,120
0,118
0,115
0,114
0,113
0,113
0,111
0,111
0,111
0,111
0,112
0,115
0,118
0,120
0,122
0,124
0,126
0,129
0,130
0,133
0,134
0,137
0,137
0,136
0,137
0,135
0,136
0,134
0,132
0,130
0,126
0,126
0,124
0,123
0,120
0,119
0,118
0,115
0,116
0,117
0,117
0,116
0,114
0,114
0,110
0,110
0,108
0,107
0,105
0,104
0,103
0,100
0,98
0,94
0,91
0,90
0,87
0,84
0,81
0,78
0,79
0,78
0,77
0,74
0,72
0,72
0,71
0,71
0,69
0,68
0,68
0,67
0,64
0,63
0,63
0,62
0,62
0,61
0,60
0,58
0,58
0,57
0,58
0,57
0,55
0,56
0,55
0,55
0,54
0,53
0,53
0,52
0,52
0,52
0,52
0,51
0,50
0,49
0,50
0,50
0,50
0,50
0,47
0,48
0,47
0,49
0,47
0,49
0,47
0,50
0,51
0,47
0,47
1,46
3,46
4,46
8,48
8,49
9,50
11,51
13,50
14,50
16,50
17,47
18,46
19,46
21,46
22,45
23,45
25,44
27,43
28,42
29,42
31,40
32,40
45,40
48,39
55,40
60,40
62,40
67,40
72,40
75,42
79,43
82,42
85,43
91,42
94,43
